location,date,vaccine,total_vaccinations
France,2022-02-25,Moderna,23440558
France,2022-02-25,Pfizer/BioNTech,108967619
France,2022-02-26,Johnson&Johnson,1089119
France,2022-02-26,Moderna,23448834
France,2022-02-26,Novavax,1
France,2022-02-26,Pfizer/BioNTech,109028857
France,2022-02-27,Johnson&Johnson,1089129
France,2022-02-27,Moderna,23450136
France,2022-02-27,Novavax,2
France,2022-02-27,Pfizer/BioNTech,109039523
France,2022-02-28,Johnson&Johnson,1089152
France,2022-02-28,Moderna,23457735
France,2022-02-28,Oxford/AstraZeneca,7863046
France,2022-02-28,Pfizer/BioNTech,109088445
France,2022-03-01,Johnson&Johnson,1089171
France,2022-03-01,Moderna,23465113
France,2022-03-01,Novavax,5
France,2022-03-01,Oxford/AstraZeneca,7863047
France,2022-03-01,Pfizer/BioNTech,109142313
France,2022-03-02,Johnson&Johnson,1089196
France,2022-03-02,Moderna,23472151
France,2022-03-02,Novavax,113
France,2022-03-02,Pfizer/BioNTech,109205984
France,2022-03-03,Johnson&Johnson,1089223
France,2022-03-03,Moderna,23477240
France,2022-03-03,Pfizer/BioNTech,109243334
France,2022-03-04,Johnson&Johnson,1089241
France,2022-03-04,Moderna,23483886
France,2022-03-04,Novavax,209
France,2022-03-04,Pfizer/BioNTech,109293341
France,2022-03-05,Johnson&Johnson,1089252
France,2022-03-05,Moderna,23487980
France,2022-03-05,Novavax,625
France,2022-03-05,Pfizer/BioNTech,109326463
France,2022-03-06,Johnson&Johnson,1089257
France,2022-03-06,Moderna,23488497
France,2022-03-06,Novavax,633
France,2022-03-06,Oxford/AstraZeneca,7863048
France,2022-03-06,Pfizer/BioNTech,109331106
France,2022-03-07,Johnson&Johnson,1089276
France,2022-03-07,Moderna,23491373
France,2022-03-07,Novavax,989
France,2022-03-07,Pfizer/BioNTech,109354746
France,2022-03-08,Johnson&Johnson,1089294
France,2022-03-08,Moderna,23494512
France,2022-03-08,Novavax,1233
France,2022-03-08,Oxford/AstraZeneca,7863049
France,2022-03-08,Pfizer/BioNTech,109379395
France,2022-03-09,Johnson&Johnson,1089312
France,2022-03-09,Moderna,23497765
France,2022-03-09,Novavax,1783
France,2022-03-09,Pfizer/BioNTech,109412337
France,2022-03-10,Johnson&Johnson,1089325
France,2022-03-10,Moderna,23500222
France,2022-03-10,Novavax,2009
France,2022-03-10,Pfizer/BioNTech,109434682
France,2022-03-11,Johnson&Johnson,1089344
France,2022-03-11,Moderna,23503978
France,2022-03-11,Novavax,2368
France,2022-03-11,Pfizer/BioNTech,109465594
France,2022-03-12,Johnson&Johnson,1089356
France,2022-03-12,Moderna,23506426
France,2022-03-12,Novavax,2912
France,2022-03-12,Pfizer/BioNTech,109489542
France,2022-03-13,Johnson&Johnson,1089365
France,2022-03-13,Moderna,23506759
France,2022-03-13,Novavax,2954
France,2022-03-13,Pfizer/BioNTech,109492833
France,2022-03-14,Johnson&Johnson,1089373
France,2022-03-14,Moderna,23509459
France,2022-03-14,Novavax,3161
France,2022-03-14,Pfizer/BioNTech,109515161
France,2022-03-15,Johnson&Johnson,1089392
France,2022-03-15,Moderna,23512443
France,2022-03-15,Novavax,3286
France,2022-03-15,Pfizer/BioNTech,109544022
France,2022-03-16,Johnson&Johnson,1089406
France,2022-03-16,Moderna,23516690
France,2022-03-16,Novavax,3616
France,2022-03-16,Pfizer/BioNTech,109582465
France,2022-03-17,Johnson&Johnson,1089415
France,2022-03-17,Moderna,23519802
France,2022-03-17,Novavax,3742
France,2022-03-17,Pfizer/BioNTech,109608675
France,2022-03-18,Johnson&Johnson,1089427
France,2022-03-18,Moderna,23524266
France,2022-03-18,Novavax,3967
France,2022-03-18,Pfizer/BioNTech,109650327
France,2022-03-19,Johnson&Johnson,1089430
France,2022-03-19,Moderna,23526846
France,2022-03-19,Novavax,4295
France,2022-03-19,Pfizer/BioNTech,109677038
France,2022-03-20,Johnson&Johnson,1089436
France,2022-03-20,Moderna,23527186
France,2022-03-20,Novavax,4315
France,2022-03-20,Oxford/AstraZeneca,7863050
France,2022-03-20,Pfizer/BioNTech,109680705
France,2022-03-21,Johnson&Johnson,1089447
France,2022-03-21,Moderna,23530292
France,2022-03-21,Novavax,4471
France,2022-03-21,Pfizer/BioNTech,109709736
France,2022-03-22,Johnson&Johnson,1089455
France,2022-03-22,Moderna,23534165
France,2022-03-22,Novavax,4583
France,2022-03-22,Pfizer/BioNTech,109745405
France,2022-03-23,Johnson&Johnson,1089470
France,2022-03-23,Moderna,23539380
France,2022-03-23,Novavax,4920
France,2022-03-23,Oxford/AstraZeneca,7863051
France,2022-03-23,Pfizer/BioNTech,109789724
France,2022-03-24,Johnson&Johnson,1089481
France,2022-03-24,Moderna,23542521
France,2022-03-24,Novavax,5039
France,2022-03-24,Pfizer/BioNTech,109820244
France,2022-03-25,Johnson&Johnson,1089488
France,2022-03-25,Moderna,23547259
France,2022-03-25,Novavax,5386
France,2022-03-25,Oxford/AstraZeneca,7863052
France,2022-03-25,Pfizer/BioNTech,109868761
France,2022-03-26,Johnson&Johnson,1089498
France,2022-03-26,Moderna,23550012
France,2022-03-26,Novavax,6020
France,2022-03-26,Pfizer/BioNTech,109896774
France,2022-03-27,Johnson&Johnson,1089502
France,2022-03-27,Moderna,23550321
France,2022-03-27,Novavax,6083
France,2022-03-27,Pfizer/BioNTech,109900848
France,2022-03-28,Johnson&Johnson,1089512
France,2022-03-28,Moderna,23553447
France,2022-03-28,Novavax,6501
France,2022-03-28,Pfizer/BioNTech,109930468
France,2022-03-29,Johnson&Johnson,1089526
France,2022-03-29,Moderna,23557605
France,2022-03-29,Novavax,6828
France,2022-03-29,Pfizer/BioNTech,109971206
France,2022-03-30,Johnson&Johnson,1089533
France,2022-03-30,Moderna,23562685
France,2022-03-30,Novavax,7621
France,2022-03-30,Pfizer/BioNTech,110016896
France,2022-03-31,Johnson&Johnson,1089544
France,2022-03-31,Moderna,23566682
France,2022-03-31,Novavax,7894
France,2022-03-31,Pfizer/BioNTech,110055849
France,2022-04-01,Johnson&Johnson,1089567
France,2022-04-01,Moderna,23571046
France,2022-04-01,Novavax,8252
France,2022-04-01,Pfizer/BioNTech,110109362
France,2022-04-02,Johnson&Johnson,1089575
France,2022-04-02,Moderna,23573024
France,2022-04-02,Novavax,8709
France,2022-04-02,Pfizer/BioNTech,110130290
France,2022-04-03,Johnson&Johnson,1089576
France,2022-04-03,Moderna,23573334
France,2022-04-03,Novavax,8747
France,2022-04-03,Pfizer/BioNTech,110133485
France,2022-04-04,Johnson&Johnson,1089588
France,2022-04-04,Moderna,23576134
France,2022-04-04,Novavax,9005
France,2022-04-04,Pfizer/BioNTech,110169539
France,2022-04-05,Johnson&Johnson,1089599
France,2022-04-05,Moderna,23580822
France,2022-04-05,Novavax,9255
France,2022-04-05,Pfizer/BioNTech,110218881
France,2022-04-06,Johnson&Johnson,1089606
France,2022-04-06,Moderna,23585002
France,2022-04-06,Novavax,9752
France,2022-04-06,Pfizer/BioNTech,110260876
France,2022-04-07,Johnson&Johnson,1089616
France,2022-04-07,Moderna,23589337
France,2022-04-07,Novavax,9999
France,2022-04-07,Pfizer/BioNTech,110308933
France,2022-04-08,Johnson&Johnson,1089623
France,2022-04-08,Moderna,23594796
France,2022-04-08,Novavax,10388
France,2022-04-08,Pfizer/BioNTech,110372985
France,2022-04-09,Johnson&Johnson,1089625
France,2022-04-09,Moderna,23597051
France,2022-04-09,Novavax,10690
France,2022-04-09,Pfizer/BioNTech,110397365
France,2022-04-10,Johnson&Johnson,1089629
France,2022-04-10,Moderna,23597442
France,2022-04-10,Novavax,10724
France,2022-04-10,Pfizer/BioNTech,110401991
France,2022-04-11,Johnson&Johnson,1089640
France,2022-04-11,Moderna,23600178
France,2022-04-11,Novavax,10935
France,2022-04-11,Pfizer/BioNTech,110438829
France,2022-04-12,Johnson&Johnson,1089651
France,2022-04-12,Moderna,23604580
France,2022-04-12,Novavax,11159
France,2022-04-12,Pfizer/BioNTech,110493958
France,2022-04-13,Johnson&Johnson,1089667
France,2022-04-13,Moderna,23608561
France,2022-04-13,Novavax,11508
France,2022-04-13,Pfizer/BioNTech,110541847
France,2022-04-14,Johnson&Johnson,1089680
France,2022-04-14,Moderna,23612666
France,2022-04-14,Novavax,11726
France,2022-04-14,Pfizer/BioNTech,110591608
France,2022-04-15,Johnson&Johnson,1089697
France,2022-04-15,Moderna,23616566
France,2022-04-15,Novavax,12051
France,2022-04-15,Oxford/AstraZeneca,7863053
France,2022-04-15,Pfizer/BioNTech,110644360
France,2022-04-16,Johnson&Johnson,1089698
France,2022-04-16,Moderna,23617838
France,2022-04-16,Novavax,12315
France,2022-04-16,Pfizer/BioNTech,110660656
France,2022-04-17,Johnson&Johnson,1089704
France,2022-04-17,Moderna,23617991
France,2022-04-17,Novavax,12336
France,2022-04-17,Pfizer/BioNTech,110663178
France,2022-04-18,Johnson&Johnson,1089714
France,2022-04-18,Moderna,23618229
France,2022-04-18,Novavax,12362
France,2022-04-18,Pfizer/BioNTech,110667506
France,2022-04-19,Johnson&Johnson,1089719
France,2022-04-19,Moderna,23621448
France,2022-04-19,Novavax,12578
France,2022-04-19,Pfizer/BioNTech,110711254
France,2022-04-20,Johnson&Johnson,1089740
France,2022-04-20,Moderna,23625069
France,2022-04-20,Novavax,12997
France,2022-04-20,Pfizer/BioNTech,110755081
France,2022-04-21,Johnson&Johnson,1089748
France,2022-04-21,Moderna,23628308
France,2022-04-21,Novavax,13213
France,2022-04-21,Pfizer/BioNTech,110803757
France,2022-04-22,Johnson&Johnson,1089752
France,2022-04-22,Moderna,23632029
France,2022-04-22,Novavax,13537
France,2022-04-22,Pfizer/BioNTech,110859343
France,2022-04-23,Johnson&Johnson,1089760
France,2022-04-23,Moderna,23633659
France,2022-04-23,Novavax,13774
France,2022-04-23,Pfizer/BioNTech,110878743
France,2022-04-24,Johnson&Johnson,1089763
France,2022-04-24,Moderna,23633870
France,2022-04-24,Novavax,13801
France,2022-04-24,Pfizer/BioNTech,110882288
France,2022-04-25,Johnson&Johnson,1089774
France,2022-04-25,Moderna,23636329
France,2022-04-25,Novavax,14030
France,2022-04-25,Pfizer/BioNTech,110915202
France,2022-04-26,Johnson&Johnson,1089786
France,2022-04-26,Moderna,23639686
France,2022-04-26,Novavax,14280
France,2022-04-26,Pfizer/BioNTech,110968555
France,2022-04-27,Johnson&Johnson,1089794
France,2022-04-27,Moderna,23642612
France,2022-04-27,Novavax,14658
France,2022-04-27,Pfizer/BioNTech,111012905
France,2022-04-28,Johnson&Johnson,1089808
France,2022-04-28,Moderna,23645799
France,2022-04-28,Novavax,14862
France,2022-04-28,Pfizer/BioNTech,111062653
France,2022-04-29,Johnson&Johnson,1089817
France,2022-04-29,Moderna,23648992
France,2022-04-29,Novavax,15240
France,2022-04-29,Pfizer/BioNTech,111118760
France,2022-04-30,Johnson&Johnson,1089821
France,2022-04-30,Moderna,23650196
France,2022-04-30,Novavax,15506
France,2022-04-30,Pfizer/BioNTech,111139859
France,2022-05-01,Moderna,23650377
France,2022-05-01,Novavax,15519
France,2022-05-01,Pfizer/BioNTech,111142127
France,2022-05-02,Johnson&Johnson,1089848
France,2022-05-02,Moderna,23652705
France,2022-05-02,Novavax,15685
France,2022-05-02,Pfizer/BioNTech,111174282
France,2022-05-03,Johnson&Johnson,1089858
France,2022-05-03,Moderna,23655875
France,2022-05-03,Novavax,15927
France,2022-05-03,Pfizer/BioNTech,111224630
France,2022-05-04,Johnson&Johnson,1089870
France,2022-05-04,Moderna,23658928
France,2022-05-04,Novavax,16249
France,2022-05-04,Pfizer/BioNTech,111264309
France,2022-05-05,Johnson&Johnson,1089879
France,2022-05-05,Moderna,23661842
France,2022-05-05,Novavax,16431
France,2022-05-05,Pfizer/BioNTech,111312713
France,2022-05-06,Johnson&Johnson,1089888
France,2022-05-06,Moderna,23665181
France,2022-05-06,Novavax,16712
France,2022-05-06,Pfizer/BioNTech,111367157
France,2022-05-07,Johnson&Johnson,1089889
France,2022-05-07,Moderna,23666294
France,2022-05-07,Novavax,16960
France,2022-05-07,Pfizer/BioNTech,111384866
France,2022-05-08,Johnson&Johnson,1089891
France,2022-05-08,Moderna,23666574
France,2022-05-08,Novavax,16999
France,2022-05-08,Pfizer/BioNTech,111387935
France,2022-05-09,Johnson&Johnson,1089898
France,2022-05-09,Moderna,23668489
France,2022-05-09,Novavax,17179
France,2022-05-09,Pfizer/BioNTech,111419730
France,2022-05-10,Johnson&Johnson,1089904
France,2022-05-10,Moderna,23671641
France,2022-05-10,Novavax,17393
France,2022-05-10,Pfizer/BioNTech,111474170
France,2022-05-11,Johnson&Johnson,1089914
France,2022-05-11,Moderna,23674618
France,2022-05-11,Novavax,17672
France,2022-05-11,Pfizer/BioNTech,111514629
France,2022-05-12,Johnson&Johnson,1089928
France,2022-05-12,Moderna,23677844
France,2022-05-12,Novavax,17865
France,2022-05-12,Pfizer/BioNTech,111562687
France,2022-05-13,Johnson&Johnson,1089931
France,2022-05-13,Moderna,23681246
France,2022-05-13,Novavax,18155
France,2022-05-13,Pfizer/BioNTech,111615943
France,2022-05-14,Johnson&Johnson,1089933
France,2022-05-14,Moderna,23682450
France,2022-05-14,Novavax,18309
France,2022-05-14,Oxford/AstraZeneca,7863054
France,2022-05-14,Pfizer/BioNTech,111634096
France,2022-05-15,Johnson&Johnson,1089937
France,2022-05-15,Moderna,23682695
France,2022-05-15,Novavax,18328
France,2022-05-15,Pfizer/BioNTech,111637309
France,2022-05-16,Johnson&Johnson,1089946
France,2022-05-16,Moderna,23684499
France,2022-05-16,Novavax,18455
France,2022-05-16,Pfizer/BioNTech,111668384
France,2022-05-17,Johnson&Johnson,1089954
France,2022-05-17,Moderna,23687155
France,2022-05-17,Novavax,18667
France,2022-05-17,Pfizer/BioNTech,111719419
France,2022-05-18,Johnson&Johnson,1089963
France,2022-05-18,Moderna,23689490
France,2022-05-18,Novavax,18920
France,2022-05-18,Pfizer/BioNTech,111758153
France,2022-05-19,Johnson&Johnson,1089971
France,2022-05-19,Moderna,23692264
France,2022-05-19,Novavax,19115
France,2022-05-19,Pfizer/BioNTech,111805714
France,2022-05-20,Johnson&Johnson,1089981
France,2022-05-20,Moderna,23695127
France,2022-05-20,Novavax,19371
France,2022-05-20,Pfizer/BioNTech,111860374
France,2022-05-21,Johnson&Johnson,1089984
France,2022-05-21,Moderna,23696186
France,2022-05-21,Novavax,19549
France,2022-05-21,Pfizer/BioNTech,111877570
France,2022-05-22,Johnson&Johnson,1089985
France,2022-05-22,Moderna,23696323
France,2022-05-22,Novavax,19585
France,2022-05-22,Pfizer/BioNTech,111880450
France,2022-05-23,Johnson&Johnson,1089987
France,2022-05-23,Moderna,23697971
France,2022-05-23,Novavax,19740
France,2022-05-23,Pfizer/BioNTech,111911203
France,2022-05-24,Johnson&Johnson,1089994
France,2022-05-24,Moderna,23700475
France,2022-05-24,Novavax,19965
France,2022-05-24,Pfizer/BioNTech,111963021
France,2022-05-25,Johnson&Johnson,1090000
France,2022-05-25,Moderna,23702381
France,2022-05-25,Novavax,20243
France,2022-05-25,Pfizer/BioNTech,111999677
France,2022-05-26,Johnson&Johnson,1090006
France,2022-05-26,Moderna,23702546
France,2022-05-26,Novavax,20262
France,2022-05-26,Pfizer/BioNTech,112003000
France,2022-05-27,Johnson&Johnson,1090010
France,2022-05-27,Moderna,23703988
France,2022-05-27,Novavax,20520
France,2022-05-27,Pfizer/BioNTech,112035720
France,2022-05-28,Johnson&Johnson,1090011
France,2022-05-28,Moderna,23704541
France,2022-05-28,Novavax,20655
France,2022-05-28,Pfizer/BioNTech,112047686
France,2022-05-29,Johnson&Johnson,1090013
France,2022-05-29,Moderna,23704656
France,2022-05-29,Novavax,20673
France,2022-05-29,Pfizer/BioNTech,112049697
France,2022-05-30,Johnson&Johnson,1090022
France,2022-05-30,Moderna,23706010
France,2022-05-30,Novavax,20824
France,2022-05-30,Pfizer/BioNTech,112077469
France,2022-05-31,Johnson&Johnson,1090025
France,2022-05-31,Moderna,23708063
France,2022-05-31,Novavax,21025
France,2022-05-31,Pfizer/BioNTech,112124709
France,2022-06-01,Johnson&Johnson,1090048
France,2022-06-01,Moderna,23709921
France,2022-06-01,Novavax,21222
France,2022-06-01,Pfizer/BioNTech,112163057
France,2022-06-02,Johnson&Johnson,1090064
France,2022-06-02,Moderna,23712268
France,2022-06-02,Novavax,21382
France,2022-06-02,Pfizer/BioNTech,112211545
France,2022-06-03,Johnson&Johnson,1090077
France,2022-06-03,Moderna,23714769
France,2022-06-03,Novavax,21630
France,2022-06-03,Pfizer/BioNTech,112265752
France,2022-06-04,Johnson&Johnson,1090080
France,2022-06-04,Moderna,23715648
France,2022-06-04,Novavax,21754
France,2022-06-04,Pfizer/BioNTech,112281398
France,2022-06-05,Johnson&Johnson,1090081
France,2022-06-05,Moderna,23715798
France,2022-06-05,Novavax,21788
France,2022-06-05,Pfizer/BioNTech,112283714
France,2022-06-06,Johnson&Johnson,1090092
France,2022-06-06,Moderna,23716020
France,2022-06-06,Novavax,21803
France,2022-06-06,Pfizer/BioNTech,112289071
France,2022-06-07,Johnson&Johnson,1090102
France,2022-06-07,Moderna,23718543
France,2022-06-07,Novavax,21979
France,2022-06-07,Pfizer/BioNTech,112336029
France,2022-06-08,Johnson&Johnson,1090110
France,2022-06-08,Moderna,23720375
France,2022-06-08,Novavax,22199
France,2022-06-08,Pfizer/BioNTech,112376222
France,2022-06-09,Johnson&Johnson,1090113
France,2022-06-09,Moderna,23723171
France,2022-06-09,Novavax,22373
France,2022-06-09,Pfizer/BioNTech,112427116
France,2022-06-10,Johnson&Johnson,1090120
France,2022-06-10,Moderna,23725766
France,2022-06-10,Novavax,22618
France,2022-06-10,Pfizer/BioNTech,112487030
France,2022-06-11,Johnson&Johnson,1090121
France,2022-06-11,Moderna,23726711
France,2022-06-11,Novavax,22779
France,2022-06-11,Pfizer/BioNTech,112505683
France,2022-06-12,Johnson&Johnson,1090127
France,2022-06-12,Moderna,23726903
France,2022-06-12,Novavax,22800
France,2022-06-12,Pfizer/BioNTech,112508957
France,2022-06-13,Johnson&Johnson,1090138
France,2022-06-13,Moderna,23728411
France,2022-06-13,Novavax,22952
France,2022-06-13,Oxford/AstraZeneca,7863055
France,2022-06-13,Pfizer/BioNTech,112541105
France,2022-06-14,Johnson&Johnson,1090145
France,2022-06-14,Moderna,23731323
France,2022-06-14,Novavax,23163
France,2022-06-14,Pfizer/BioNTech,112597270
France,2022-06-15,Johnson&Johnson,1090162
France,2022-06-15,Moderna,23733531
France,2022-06-15,Novavax,23344
France,2022-06-15,Pfizer/BioNTech,112639112
France,2022-06-16,Johnson&Johnson,1090169
France,2022-06-16,Moderna,23735701
France,2022-06-16,Novavax,23455
France,2022-06-16,Pfizer/BioNTech,112689911
France,2022-06-17,Johnson&Johnson,1090176
France,2022-06-17,Moderna,23738318
France,2022-06-17,Novavax,23642
France,2022-06-17,Pfizer/BioNTech,112750665
France,2022-06-18,Moderna,23739290
France,2022-06-18,Novavax,23788
France,2022-06-18,Pfizer/BioNTech,112767623
France,2022-06-19,Johnson&Johnson,1090179
France,2022-06-19,Moderna,23739442
France,2022-06-19,Novavax,23803
France,2022-06-19,Pfizer/BioNTech,112770673
France,2022-06-20,Johnson&Johnson,1090190
France,2022-06-20,Moderna,23741058
France,2022-06-20,Novavax,23891
France,2022-06-20,Pfizer/BioNTech,112806902
France,2022-06-21,Johnson&Johnson,1090202
France,2022-06-21,Moderna,23743936
France,2022-06-21,Novavax,24040
France,2022-06-21,Pfizer/BioNTech,112867805
France,2022-06-22,Johnson&Johnson,1090211
France,2022-06-22,Moderna,23746436
France,2022-06-22,Novavax,24221
France,2022-06-22,Pfizer/BioNTech,112917019
France,2022-06-23,Johnson&Johnson,1090220
France,2022-06-23,Moderna,23749422
France,2022-06-23,Novavax,24344
France,2022-06-23,Pfizer/BioNTech,112983296
France,2022-06-24,Johnson&Johnson,1090225
France,2022-06-24,Moderna,23753518
France,2022-06-24,Novavax,24527
France,2022-06-24,Pfizer/BioNTech,113066335
France,2022-06-25,Johnson&Johnson,1090230
France,2022-06-25,Moderna,23754924
France,2022-06-25,Novavax,24662
France,2022-06-25,Pfizer/BioNTech,113093668
France,2022-06-26,Johnson&Johnson,1090232
France,2022-06-26,Moderna,23755306
France,2022-06-26,Novavax,24676
France,2022-06-26,Pfizer/BioNTech,113099599
France,2022-06-27,Johnson&Johnson,1090240
France,2022-06-27,Moderna,23758594
France,2022-06-27,Novavax,24790
France,2022-06-27,Pfizer/BioNTech,113158339
France,2022-06-28,Johnson&Johnson,1090247
France,2022-06-28,Moderna,23764473
France,2022-06-28,Novavax,24914
France,2022-06-28,Pfizer/BioNTech,113262708
France,2022-06-29,Johnson&Johnson,1090250
France,2022-06-29,Moderna,23769908
France,2022-06-29,Novavax,25192
France,2022-06-29,Oxford/AstraZeneca,7863056
France,2022-06-29,Pfizer/BioNTech,113345732
France,2022-06-30,Johnson&Johnson,1090252
France,2022-06-30,Moderna,23776124
France,2022-06-30,Novavax,25379
France,2022-06-30,Pfizer/BioNTech,113453164
France,2022-07-01,Johnson&Johnson,1090267
France,2022-07-01,Moderna,23784242
France,2022-07-01,Novavax,25646
France,2022-07-01,Pfizer/BioNTech,113588034
France,2022-07-02,Johnson&Johnson,1090268
France,2022-07-02,Moderna,23786894
France,2022-07-02,Novavax,25799
France,2022-07-02,Pfizer/BioNTech,113632459
France,2022-07-03,Moderna,23787428
France,2022-07-03,Novavax,25821
France,2022-07-03,Pfizer/BioNTech,113641287
France,2022-07-04,Johnson&Johnson,1090273
France,2022-07-04,Moderna,23792295
France,2022-07-04,Novavax,25951
France,2022-07-04,Pfizer/BioNTech,113735678
France,2022-07-05,Johnson&Johnson,1090281
France,2022-07-05,Moderna,23800541
France,2022-07-05,Novavax,26155
France,2022-07-05,Pfizer/BioNTech,113884316
France,2022-07-06,Johnson&Johnson,1090288
France,2022-07-06,Moderna,23807544
France,2022-07-06,Novavax,26331
France,2022-07-06,Pfizer/BioNTech,113997235
France,2022-07-07,Johnson&Johnson,1090294
France,2022-07-07,Moderna,23815332
France,2022-07-07,Novavax,26588
France,2022-07-07,Pfizer/BioNTech,114137825
France,2022-07-08,Johnson&Johnson,1090299
France,2022-07-08,Moderna,23823658
France,2022-07-08,Novavax,26883
France,2022-07-08,Pfizer/BioNTech,114292095
France,2022-07-09,Johnson&Johnson,1090304
France,2022-07-09,Moderna,23826040
France,2022-07-09,Novavax,27032
France,2022-07-09,Pfizer/BioNTech,114337565
France,2022-07-10,Johnson&Johnson,1090307
France,2022-07-10,Moderna,23826476
France,2022-07-10,Novavax,27050
France,2022-07-10,Pfizer/BioNTech,114347417
France,2022-07-11,Johnson&Johnson,1090312
France,2022-07-11,Moderna,23831174
France,2022-07-11,Novavax,27157
France,2022-07-11,Pfizer/BioNTech,114449858
France,2022-07-12,Johnson&Johnson,1090314
France,2022-07-12,Moderna,23839027
France,2022-07-12,Novavax,27334
France,2022-07-12,Pfizer/BioNTech,114611303
France,2022-07-13,Johnson&Johnson,1090324
France,2022-07-13,Moderna,23844764
France,2022-07-13,Novavax,27518
France,2022-07-13,Pfizer/BioNTech,114720151
France,2022-07-14,Johnson&Johnson,1090331
France,2022-07-14,Moderna,23845122
France,2022-07-14,Novavax,27526
France,2022-07-14,Pfizer/BioNTech,114727833
France,2022-07-15,Johnson&Johnson,1090344
France,2022-07-15,Moderna,23849846
France,2022-07-15,Novavax,27725
France,2022-07-15,Pfizer/BioNTech,114826542
France,2022-07-16,Johnson&Johnson,1090351
France,2022-07-16,Moderna,23851248
France,2022-07-16,Novavax,27800
France,2022-07-16,Pfizer/BioNTech,114857810
France,2022-07-17,Johnson&Johnson,1090354
France,2022-07-17,Moderna,23851544
France,2022-07-17,Novavax,27810
France,2022-07-17,Pfizer/BioNTech,114864482
France,2022-07-18,Johnson&Johnson,1090362
France,2022-07-18,Moderna,23854728
France,2022-07-18,Novavax,27934
France,2022-07-18,Pfizer/BioNTech,114938189
France,2022-07-19,Johnson&Johnson,1090368
France,2022-07-19,Moderna,23859955
France,2022-07-19,Novavax,28059
France,2022-07-19,Pfizer/BioNTech,115055793
France,2022-07-20,Johnson&Johnson,1090383
France,2022-07-20,Moderna,23863892
France,2022-07-20,Novavax,28211
France,2022-07-20,Pfizer/BioNTech,115145977
France,2022-07-21,Johnson&Johnson,1090389
France,2022-07-21,Moderna,23868415
France,2022-07-21,Novavax,28334
France,2022-07-21,Pfizer/BioNTech,115246129
France,2022-07-22,Johnson&Johnson,1090398
France,2022-07-22,Moderna,23872816
France,2022-07-22,Novavax,28496
France,2022-07-22,Pfizer/BioNTech,115349867
France,2022-07-23,Johnson&Johnson,1090401
France,2022-07-23,Moderna,23874416
France,2022-07-23,Novavax,28590
France,2022-07-23,Pfizer/BioNTech,115378183
France,2022-07-24,Johnson&Johnson,1090402
France,2022-07-24,Moderna,23874724
France,2022-07-24,Novavax,28619
France,2022-07-24,Pfizer/BioNTech,115383690
France,2022-07-25,Johnson&Johnson,1090412
France,2022-07-25,Moderna,23877188
France,2022-07-25,Novavax,28743
France,2022-07-25,Pfizer/BioNTech,115441525
France,2022-07-26,Johnson&Johnson,1090415
France,2022-07-26,Moderna,23881407
France,2022-07-26,Novavax,28874
France,2022-07-26,Pfizer/BioNTech,115539434
France,2022-07-27,Johnson&Johnson,1090419
France,2022-07-27,Moderna,23884769
France,2022-07-27,Novavax,29032
France,2022-07-27,Pfizer/BioNTech,115610698
France,2022-07-28,Johnson&Johnson,1090432
France,2022-07-28,Moderna,23887810
France,2022-07-28,Novavax,29120
France,2022-07-28,Pfizer/BioNTech,115685247
France,2022-07-29,Johnson&Johnson,1090437
France,2022-07-29,Moderna,23891358
France,2022-07-29,Novavax,29282
France,2022-07-29,Pfizer/BioNTech,115761804
France,2022-07-30,Johnson&Johnson,1090444
France,2022-07-30,Moderna,23892358
France,2022-07-30,Novavax,29375
France,2022-07-30,Pfizer/BioNTech,115780880
France,2022-07-31,Moderna,23892508
France,2022-07-31,Novavax,29377
France,2022-07-31,Pfizer/BioNTech,115784539
France,2022-08-01,Johnson&Johnson,1090451
France,2022-08-01,Moderna,23894238
France,2022-08-01,Novavax,29474
France,2022-08-01,Pfizer/BioNTech,115823220
France,2022-08-02,Johnson&Johnson,1090458
France,2022-08-02,Moderna,23896748
France,2022-08-02,Novavax,29581
France,2022-08-02,Pfizer/BioNTech,115888015
France,2022-08-03,Johnson&Johnson,1090463
France,2022-08-03,Moderna,23898701
France,2022-08-03,Novavax,29685
France,2022-08-03,Pfizer/BioNTech,115933183
France,2022-08-04,Johnson&Johnson,1090471
France,2022-08-04,Moderna,23900804
France,2022-08-04,Novavax,29744
France,2022-08-04,Pfizer/BioNTech,115982677
France,2022-08-05,Johnson&Johnson,1090476
France,2022-08-05,Moderna,23903140
France,2022-08-05,Novavax,29840
France,2022-08-05,Pfizer/BioNTech,116034540
France,2022-08-06,Johnson&Johnson,1090478
France,2022-08-06,Moderna,23903674
France,2022-08-06,Novavax,29888
France,2022-08-06,Pfizer/BioNTech,116046326
France,2022-08-07,Johnson&Johnson,1090483
France,2022-08-07,Moderna,23903773
France,2022-08-07,Novavax,29891
France,2022-08-07,Pfizer/BioNTech,116048649
France,2022-08-08,Johnson&Johnson,1090487
France,2022-08-08,Moderna,23904924
France,2022-08-08,Novavax,29949
France,2022-08-08,Pfizer/BioNTech,116075416
France,2022-08-09,Johnson&Johnson,1090493
France,2022-08-09,Moderna,23906759
France,2022-08-09,Novavax,30010
France,2022-08-09,Pfizer/BioNTech,116121365
France,2022-08-10,Johnson&Johnson,1090501
France,2022-08-10,Moderna,23908145
France,2022-08-10,Novavax,30092
France,2022-08-10,Pfizer/BioNTech,116154570
